job_id,job_title,industry,required_skills
JOB_0000,ML Engineer,Technology,"[{""name"": ""Natural Language Processing"", ""level"": ""Intermediate""}, {""name"": ""Keras"", ""level"": ""Beginner""}, {""name"": ""Deep Learning"", ""level"": ""Beginner""}, {""name"": ""Tesseract"", ""level"": ""Advanced""}, {""name"": ""Machine Learning"", ""level"": ""Intermediate""}, {""name"": ""LangChain"", ""level"": ""Beginner""}, {""name"": ""Kubernetes"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]"
JOB_0001,ML Engineer,Technology,"[{""name"": ""Chatbot development"", ""level"": ""Intermediate""}, {""name"": ""Docker"", ""level"": ""Intermediate""}, {""name"": ""LLM"", ""level"": ""Advanced""}, {""name"": ""Tesseract"", ""level"": ""Intermediate""}, {""name"": ""Problem-solving"", ""level"": ""Intermediate""}, {""name"": ""PaddleOCR"", ""level"": ""Beginner""}, {""name"": ""AWS (EC2, S3, Lambda)"", ""level"": ""Intermediate""}, {""name"": ""Problem Solving"", ""level"": ""Advanced""}, {""name"": ""Backend integration"", ""level"": ""Intermediate""}, {""name"": ""AWS"", ""level"": ""Beginner""}, {""name"": ""Reinforcement Learning"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}, {""name"": ""French"", ""level"": ""Beginner""}]"
JOB_0002,ML Engineer,Technology,"[{""name"": ""Hugging Face Transformers"", ""level"": ""Intermediate""}, {""name"": ""Deep Learning"", ""level"": ""Beginner""}, {""name"": ""Tesseract"", ""level"": ""Intermediate""}, {""name"": ""RAG"", ""level"": ""Intermediate""}, {""name"": ""Machine Learning"", ""level"": ""Intermediate""}, {""name"": ""Feature Engineering"", ""level"": ""Intermediate""}, {""name"": ""Docker"", ""level"": ""Advanced""}, {""name"": ""Natural Language Processing"", ""level"": ""Advanced""}, {""name"": ""AWS"", ""level"": ""Beginner""}, {""name"": ""Reinforcement Learning"", ""level"": ""Beginner""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}, {""name"": ""Korean"", ""level"": ""Beginner""}]"
JOB_0003,ML Engineer,Technology,"[{""name"": ""Docker"", ""level"": ""Intermediate""}, {""name"": ""Deep Learning"", ""level"": ""Advanced""}, {""name"": ""Feature Engineering"", ""level"": ""Intermediate""}, {""name"": ""Tesseract"", ""level"": ""Beginner""}, {""name"": ""Chatbot development"", ""level"": ""Intermediate""}, {""name"": ""LangChain"", ""level"": ""Advanced""}, {""name"": ""GCP"", ""level"": ""Beginner""}, {""name"": ""Azure"", ""level"": ""Intermediate""}, {""name"": ""Kubernetes"", ""level"": ""Beginner""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}]"
JOB_0004,ML Engineer,Technology,"[{""name"": ""RAG"", ""level"": ""Intermediate""}, {""name"": ""Problem-solving"", ""level"": ""Beginner""}, {""name"": ""Docker"", ""level"": ""Intermediate""}, {""name"": ""Feature Engineering"", ""level"": ""Intermediate""}, {""name"": ""PaddleOCR"", ""level"": ""Intermediate""}, {""name"": ""Natural Language Processing"", ""level"": ""Advanced""}, {""name"": ""Machine Learning"", ""level"": ""Beginner""}, {""name"": ""OCR"", ""level"": ""Advanced""}, {""name"": ""FastAPI"", ""level"": ""Intermediate""}, {""name"": ""Backend integration"", ""level"": ""Advanced""}, {""name"": ""GCP (BigQuery, GKE)"", ""level"": ""Intermediate""}, {""name"": ""LangChain"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]"
JOB_0005,ML Engineer,Technology,"[{""name"": ""Vector databases"", ""level"": ""Intermediate""}, {""name"": ""LLM"", ""level"": ""Intermediate""}, {""name"": ""Computer Vision"", ""level"": ""Intermediate""}, {""name"": ""Model Deployment (MLOps)"", ""level"": ""Beginner""}, {""name"": ""Chatbot development"", ""level"": ""Intermediate""}, {""name"": ""Deep Learning"", ""level"": ""Advanced""}, {""name"": ""Natural Language Processing"", ""level"": ""Beginner""}, {""name"": ""Python"", ""level"": ""Intermediate""}, {""name"": ""FastAPI"", ""level"": ""Intermediate""}, {""name"": ""Backend integration"", ""level"": ""Beginner""}, {""name"": ""Problem Solving"", ""level"": ""Intermediate""}, {""name"": ""AWS (EC2, S3, Lambda)"", ""level"": ""Beginner""}, {""name"": ""LangChain"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}]"
JOB_0006,ML Engineer,Technology,"[{""name"": ""Vector databases"", ""level"": ""Beginner""}, {""name"": ""OCR"", ""level"": ""Intermediate""}, {""name"": ""Document processing"", ""level"": ""Advanced""}, {""name"": ""TensorFlow"", ""level"": ""Beginner""}, {""name"": ""Chatbot development"", ""level"": ""Intermediate""}, {""name"": ""Problem-solving"", ""level"": ""Advanced""}, {""name"": ""Tesseract"", ""level"": ""Intermediate""}, {""name"": ""LangGraph"", ""level"": ""Intermediate""}, {""name"": ""PaddleOCR"", ""level"": ""Intermediate""}, {""name"": ""Azure"", ""level"": ""Advanced""}, {""name"": ""AWS"", ""level"": ""Intermediate""}, {""name"": ""Reinforcement Learning"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}]"
JOB_0007,ML Engineer,Technology,"[{""name"": ""RAG"", ""level"": ""Beginner""}, {""name"": ""Python"", ""level"": ""Beginner""}, {""name"": ""Feature Engineering"", ""level"": ""Intermediate""}, {""name"": ""Model Deployment (MLOps)"", ""level"": ""Intermediate""}, {""name"": ""TensorFlow"", ""level"": ""Intermediate""}, {""name"": ""Keras"", ""level"": ""Intermediate""}, {""name"": ""Document processing"", ""level"": ""Beginner""}, {""name"": ""Tesseract"", ""level"": ""Beginner""}, {""name"": ""Problem Solving"", ""level"": ""Intermediate""}, {""name"": ""GCP"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}]"
JOB_0008,ML Engineer,Technology,"[{""name"": ""PaddleOCR"", ""level"": ""Beginner""}, {""name"": ""Feature Engineering"", ""level"": ""Intermediate""}, {""name"": ""Docker"", ""level"": ""Intermediate""}, {""name"": ""Vector databases"", ""level"": ""Beginner""}, {""name"": ""PyTorch"", ""level"": ""Advanced""}, {""name"": ""Machine Learning"", ""level"": ""Beginner""}, {""name"": ""Document processing"", ""level"": ""Beginner""}, {""name"": ""TensorFlow"", ""level"": ""Intermediate""}, {""name"": ""LangChain"", ""level"": ""Beginner""}, {""name"": ""Kubernetes"", ""level"": ""Intermediate""}, {""name"": ""Azure"", ""level"": ""Beginner""}, {""name"": ""GCP"", ""level"": ""Beginner""}, {""name"": ""Backend integration"", ""level"": ""Beginner""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]"
JOB_0009,ML Engineer,Technology,"[{""name"": ""Machine Learning"", ""level"": ""Intermediate""}, {""name"": ""Docker"", ""level"": ""Intermediate""}, {""name"": ""OCR"", ""level"": ""Beginner""}, {""name"": ""Deep Learning"", ""level"": ""Intermediate""}, {""name"": ""Vector databases"", ""level"": ""Intermediate""}, {""name"": ""Computer Vision"", ""level"": ""Beginner""}, {""name"": ""Problem Solving"", ""level"": ""Intermediate""}, {""name"": ""GCP"", ""level"": ""Intermediate""}, {""name"": ""Azure"", ""level"": ""Beginner""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]"
JOB_0010,Data Analyst (Finance),Finance / Policy,"[{""name"": ""SQL"", ""level"": ""Intermediate""}, {""name"": ""Data integrity"", ""level"": ""Intermediate""}, {""name"": ""Power BI"", ""level"": ""Beginner""}, {""name"": ""Tableau"", ""level"": ""Intermediate""}, {""name"": ""Financial Statement Analysis"", ""level"": ""Intermediate""}, {""name"": ""Data accuracy"", ""level"": ""Advanced""}, {""name"": ""SQL (Data Querying)"", ""level"": ""Beginner""}, {""name"": ""Communication"", ""level"": ""Beginner""}, {""name"": ""Presentation Skills"", ""level"": ""Beginner""}, {""name"": ""Bloomberg Terminal"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}, {""name"": ""Korean"", ""level"": ""Beginner""}]"
JOB_0011,Data Analyst (Finance),Finance / Policy,"[{""name"": ""Data Visualization"", ""level"": ""Beginner""}, {""name"": ""Economics Statistics I/II"", ""level"": ""Intermediate""}, {""name"": ""Dashboard development"", ""level"": ""Intermediate""}, {""name"": ""SQL"", ""level"": ""Intermediate""}, {""name"": ""SQL (Data Querying)"", ""level"": ""Intermediate""}, {""name"": ""Tableau"", ""level"": ""Beginner""}, {""name"": ""KPI tracking"", ""level"": ""Intermediate""}, {""name"": ""Collections portfolio analysis"", ""level"": ""Intermediate""}, {""name"": ""Presentation Skills"", ""level"": ""Beginner""}, {""name"": ""Python"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}, {""name"": ""Japanese"", ""level"": ""Beginner""}]"
JOB_0012,Data Analyst (Finance),Finance / Policy,"[{""name"": ""Economics Statistics I/II"", ""level"": ""Advanced""}, {""name"": ""Financial Statement Analysis"", ""level"": ""Intermediate""}, {""name"": ""Statistical Modeling"", ""level"": ""Intermediate""}, {""name"": ""Data integrity"", ""level"": ""Intermediate""}, {""name"": ""Python (Pandas, NumPy, Statsmodels)"", ""level"": ""Beginner""}, {""name"": ""Microsoft Excel"", ""level"": ""Beginner""}, {""name"": ""Tableau"", ""level"": ""Beginner""}, {""name"": ""Presentation Skills"", ""level"": ""Intermediate""}, {""name"": ""Collections portfolio analysis"", ""level"": ""Beginner""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}, {""name"": ""Chinese"", ""level"": ""Intermediate""}]"
JOB_0013,Data Analyst (Finance),Finance / Policy,"[{""name"": ""Regression Analysis"", ""level"": ""Beginner""}, {""name"": ""Microsoft Excel"", ""level"": ""Intermediate""}, {""name"": ""Tableau"", ""level"": ""Intermediate""}, {""name"": ""KPI tracking"", ""level"": ""Intermediate""}, {""name"": ""Excel (Advanced: Solver, VBA, Power Query)"", ""level"": ""Intermediate""}, {""name"": ""SQL (Data Querying)"", ""level"": ""Advanced""}, {""name"": ""Banking experience"", ""level"": ""Beginner""}, {""name"": ""R"", ""level"": ""Beginner""}, {""name"": ""Presentation Skills"", ""level"": ""Beginner""}, {""name"": ""R (ggplot2, dplyr, tidyr)"", ""level"": ""Beginner""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]"
JOB_0014,Data Analyst (Finance),Finance / Policy,"[{""name"": ""Economics Statistics I/II"", ""level"": ""Intermediate""}, {""name"": ""Python (Pandas, NumPy, Statsmodels)"", ""level"": ""Intermediate""}, {""name"": ""SQL"", ""level"": ""Intermediate""}, {""name"": ""Financial Statement Analysis"", ""level"": ""Intermediate""}, {""name"": ""SQL (Data Querying)"", ""level"": ""Intermediate""}, {""name"": ""Statistical Modeling"", ""level"": ""Intermediate""}, {""name"": ""Collections portfolio analysis"", ""level"": ""Intermediate""}, {""name"": ""Python"", ""level"": ""Beginner""}, {""name"": ""Presentation Skills"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]"
JOB_0015,Data Analyst (Finance),Finance / Policy,"[{""name"": ""Regression Analysis"", ""level"": ""Beginner""}, {""name"": ""Data analysis"", ""level"": ""Intermediate""}, {""name"": ""SQL"", ""level"": ""Intermediate""}, {""name"": ""Economics Statistics I/II"", ""level"": ""Beginner""}, {""name"": ""SQL (Data Querying)"", ""level"": ""Intermediate""}, {""name"": ""Microsoft Excel"", ""level"": ""Intermediate""}, {""name"": ""Statistical Modeling"", ""level"": ""Advanced""}, {""name"": ""Dashboard development"", ""level"": ""Beginner""}, {""name"": ""Financial Statement Analysis"", ""level"": ""Intermediate""}, {""name"": ""Presentation Skills"", ""level"": ""Beginner""}, {""name"": ""R"", ""level"": ""Beginner""}, {""name"": ""R (ggplot2, dplyr, tidyr)"", ""level"": ""Beginner""}, {""name"": ""Python"", ""level"": ""Intermediate""}, {""name"": ""Problem Solving"", ""level"": ""Beginner""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]"
JOB_0016,Data Analyst (Finance),Finance / Policy,"[{""name"": ""Data integrity"", ""level"": ""Advanced""}, {""name"": ""Data analysis"", ""level"": ""Intermediate""}, {""name"": ""Statistical Modeling"", ""level"": ""Beginner""}, {""name"": ""Microsoft Excel"", ""level"": ""Advanced""}, {""name"": ""KPI tracking"", ""level"": ""Intermediate""}, {""name"": ""Python"", ""level"": ""Advanced""}, {""name"": ""R (ggplot2, dplyr, tidyr)"", ""level"": ""Advanced""}, {""name"": ""Collections portfolio analysis"", ""level"": ""Intermediate""}, {""name"": ""Communication"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}, {""name"": ""Chinese"", ""level"": ""Beginner""}]"
