student_id,name,faculty,year,gpa,skills,languages,activities,key_course_grades,target_career
6610400000,Student_0000,Economics,1,2.47,"[{""name"": ""Microsoft Word"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}]",,"[{""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""B""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""C""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""C""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""C""}]",Admin Assistant
6610400001,Student_0001,Economics,1,3.21,"[{""name"": ""Stakeholder Management"", ""level"": ""Beginner""}, {""name"": ""Excel (Advanced: Solver, VBA, Power Query)"", ""level"": ""Beginner""}, {""name"": ""Attention to Detail"", ""level"": ""Intermediate""}, {""name"": ""KYC/AML"", ""level"": ""Intermediate""}, {""name"": ""Python (Pandas, NumPy, Statsmodels)"", ""level"": ""Beginner""}, {""name"": ""AML / KYC Compliance"", ""level"": ""Intermediate""}, {""name"": ""Development Economics"", ""level"": ""Beginner""}, {""name"": ""Cost-Benefit Analysis (CBA)"", ""level"": ""Intermediate""}, {""name"": ""Bloomberg Terminal"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}, {""name"": ""French"", ""level"": ""Beginner""}]",[RegTech Intern] at [SEC Thailand 2024] | [Policy Research Intern] at [NESDC Thailand 2024],"[{""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""C+""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""D+""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""A""}]",Compliance Officer (RegTech)
6610400002,Student_0002,Computer Engineering,1,2.1,"[{""name"": ""CAD tools"", ""level"": ""Intermediate""}, {""name"": ""RFID protocols"", ""level"": ""Beginner""}, {""name"": ""Schematic reading"", ""level"": ""Intermediate""}, {""name"": ""Technical Writing"", ""level"": ""Beginner""}, {""name"": ""VHDL"", ""level"": ""Intermediate""}, {""name"": ""Critical thinking"", ""level"": ""Intermediate""}, {""name"": ""Digital Systems Design"", ""level"": ""Intermediate""}, {""name"": ""C/C++"", ""level"": ""Intermediate""}, {""name"": ""IoT Development"", ""level"": ""Intermediate""}, {""name"": ""SAST / DAST Tools"", ""level"": ""Beginner""}, {""name"": ""GitHub Actions"", ""level"": ""Beginner""}, {""name"": ""MySQL"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[Embedded Systems Dev] at [Thai IoT Startup 2024] | [Product Manager Intern] at [Wongnai / LINE MAN 2024],"[{""course_id"": ""01204216"", ""course_name"": ""Probability and Statistics for Computer Engineers"", ""grade"": ""B""}, {""course_id"": ""01403117"", ""course_name"": ""Fundamentals of General Chemistry"", ""grade"": ""A""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""C""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""B+""}, {""course_id"": ""01417167"", ""course_name"": ""Engineering Mathematics I"", ""grade"": ""B+""}, {""course_id"": ""01417168"", ""course_name"": ""Engineering Mathematics II"", ""grade"": ""B+""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""B""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""B""}]",Embedded Systems Engineer
6610400003,Student_0003,Computer Engineering,1,2.39,"[{""name"": ""Excel"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}]",,"[{""course_id"": ""01417168"", ""course_name"": ""Engineering Mathematics II"", ""grade"": ""C""}, {""course_id"": ""01417167"", ""course_name"": ""Engineering Mathematics I"", ""grade"": ""B+""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""B""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""B+""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""C+""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""C+""}, {""course_id"": ""01403117"", ""course_name"": ""Fundamentals of General Chemistry"", ""grade"": ""A""}]",Business Analyst
6610400004,Student_0004,Economics,1,2.41,"[{""name"": ""HTML"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}]",,"[{""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""B""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""C""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""D+""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B""}]",Web Developer
6610400005,Student_0005,Computer Engineering,1,2.84,"[{""name"": ""Hugging Face Transformers"", ""level"": ""Intermediate""}, {""name"": ""Feature Engineering"", ""level"": ""Intermediate""}, {""name"": ""Problem-solving"", ""level"": ""Intermediate""}, {""name"": ""PyTorch"", ""level"": ""Intermediate""}, {""name"": ""PaddleOCR"", ""level"": ""Intermediate""}, {""name"": ""Python"", ""level"": ""Intermediate""}, {""name"": ""VS Code"", ""level"": ""Beginner""}, {""name"": ""LLM Fine-tuning"", ""level"": ""Intermediate""}, {""name"": ""Service Mesh (Istio)"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}]",[AI Research Intern] at [NECTEC AI Lab 2024] | [Software Intern] at [True Digital Group 2024],"[{""course_id"": ""01204216"", ""course_name"": ""Probability and Statistics for Computer Engineers"", ""grade"": ""B+""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""C""}, {""course_id"": ""01417167"", ""course_name"": ""Engineering Mathematics I"", ""grade"": ""C+""}, {""course_id"": ""01403117"", ""course_name"": ""Fundamentals of General Chemistry"", ""grade"": ""C""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""B+""}, {""course_id"": ""01417168"", ""course_name"": ""Engineering Mathematics II"", ""grade"": ""C+""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""D+""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""C+""}]",ML Engineer
6610400006,Student_0006,Computer Engineering,1,2.97,"[{""name"": ""Arduino"", ""level"": ""Beginner""}, {""name"": ""AWS"", ""level"": ""Intermediate""}, {""name"": ""C++"", ""level"": ""Intermediate""}, {""name"": ""Unit Testing"", ""level"": ""Intermediate""}, {""name"": ""SQL"", ""level"": ""Intermediate""}, {""name"": ""Raspberry Pi"", ""level"": ""Beginner""}, {""name"": ""SVN"", ""level"": ""Intermediate""}, {""name"": ""Kafka"", ""level"": ""Beginner""}, {""name"": ""Version control"", ""level"": ""Intermediate""}, {""name"": ""Shader Programming"", ""level"": ""Beginner""}, {""name"": ""Smart Contract Development"", ""level"": ""Beginner""}, {""name"": ""Kotlin"", ""level"": ""Intermediate""}, {""name"": ""Presentation Skills"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[Backend Developer] at [Senior Capstone Project 2024] | [Workshop Facilitator] at [KU Coding Club 2024],"[{""course_id"": ""01204216"", ""course_name"": ""Probability and Statistics for Computer Engineers"", ""grade"": ""B+""}, {""course_id"": ""01417167"", ""course_name"": ""Engineering Mathematics I"", ""grade"": ""C""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""C+""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""B""}, {""course_id"": ""01403117"", ""course_name"": ""Fundamentals of General Chemistry"", ""grade"": ""B""}, {""course_id"": ""01417168"", ""course_name"": ""Engineering Mathematics II"", ""grade"": ""C+""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""C+""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""B""}]",Software Engineer
6610400007,Student_0007,Economics,1,2.26,"[{""name"": ""PowerPoint"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}]",,"[{""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""C""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""C""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""D+""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B""}]",Consultant
6610400008,Student_0008,Computer Engineering,1,2.95,"[{""name"": ""PySpark"", ""level"": ""Intermediate""}, {""name"": ""Talend"", ""level"": ""Beginner""}, {""name"": ""Pandas"", ""level"": ""Intermediate""}, {""name"": ""Databricks"", ""level"": ""Intermediate""}, {""name"": ""Data Engineering"", ""level"": ""Intermediate""}, {""name"": ""Apache Kafka"", ""level"": ""Intermediate""}, {""name"": ""Apache Airflow"", ""level"": ""Intermediate""}, {""name"": ""Project Management"", ""level"": ""Beginner""}, {""name"": ""Keras"", ""level"": ""Beginner""}, {""name"": ""GraphQL"", ""level"": ""Intermediate""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}]",[AI Research Intern] at [NECTEC AI Lab 2025] | [Open-Source Contributor] at [GitHub Projects 2025],"[{""course_id"": ""01417168"", ""course_name"": ""Engineering Mathematics II"", ""grade"": ""D+""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""B+""}, {""course_id"": ""01204216"", ""course_name"": ""Probability and Statistics for Computer Engineers"", ""grade"": ""C""}, {""course_id"": ""01417167"", ""course_name"": ""Engineering Mathematics I"", ""grade"": ""B+""}, {""course_id"": ""01403117"", ""course_name"": ""Fundamentals of General Chemistry"", ""grade"": ""B+""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""C""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""A""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""B+""}]",Data Engineer
6610400009,Student_0009,Economics,1,3.13,"[{""name"": ""Capital Budgeting"", ""level"": ""Intermediate""}, {""name"": ""Microsoft Excel"", ""level"": ""Intermediate""}, {""name"": ""Financial Statement Analysis"", ""level"": ""Intermediate""}, {""name"": ""ERP systems (SAP, Oracle, NetSuite)"", ""level"": ""Intermediate""}, {""name"": ""Financial Modeling"", ""level"": ""Intermediate""}, {""name"": ""Cash flow forecasting"", ""level"": ""Intermediate""}, {""name"": ""Healthcare Economics"", ""level"": ""Beginner""}, {""name"": ""Report Writing"", ""level"": ""Intermediate""}, {""name"": ""Budgeting & Forecasting"", ""level"": ""Intermediate""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}, {""name"": ""Chinese"", ""level"": ""Beginner""}]",[Equity Analyst Intern] at [Bualuang Securities 2024] | [M&A Intern] at [Phatra Capital 2024],"[{""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""A""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""B""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""C""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""C""}]",Financial Analyst
