alumni_id,faculty,first_job_title,gpa_at_graduation,skills,activities_in_college,key_course_grades,salary_start,years_to_promotion,success_score
BT_0000,Economics,Portfolio Manager,3.38,"[{""name"": ""Portfolio rebalancing"", ""level"": ""Intermediate""}, {""name"": ""Investment Consultant (IC) License"", ""level"": ""Advanced""}, {""name"": ""Valuation (DCF, Comps)"", ""level"": ""Advanced""}, {""name"": ""Risk Management (VaR, CVaR)"", ""level"": ""Intermediate""}, {""name"": ""Equity Research"", ""level"": ""Beginner""}, {""name"": ""Bloomberg Terminal"", ""level"": ""Beginner""}, {""name"": ""Factor Investing"", ""level"": ""Advanced""}, {""name"": ""Financial acumen"", ""level"": ""Advanced""}, {""name"": ""Portfolio construction"", ""level"": ""Advanced""}, {""name"": ""Derivatives Pricing (Black-Scholes)"", ""level"": ""Advanced""}, {""name"": ""Private banking"", ""level"": ""Advanced""}, {""name"": ""Wealth management"", ""level"": ""Intermediate""}, {""name"": ""CFA"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}]",[Economic Analyst] at [TDRI Policy Research 2023] | [Member] at [KU Investment Club 2023],"[{""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""B+""}, {""course_id"": ""01101284"", ""course_name"": ""Economics of Natural Resources and Public Policy"", ""grade"": ""A""}, {""course_id"": ""01101273"", ""course_name"": ""Introduction to Computational Economics"", ""grade"": ""B""}, {""course_id"": ""01101281"", ""course_name"": ""Microeconomics II"", ""grade"": ""B+""}, {""course_id"": ""01101371"", ""course_name"": ""Economics Statistics II"", ""grade"": ""C+""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B+""}, {""course_id"": ""01101384"", ""course_name"": ""Economics of Money and Banking"", ""grade"": ""B""}, {""course_id"": ""01101381"", ""course_name"": ""History of Economic Thought"", ""grade"": ""B""}, {""course_id"": ""01101461"", ""course_name"": ""Economic Valuation of Natural Resources"", ""grade"": ""A""}, {""course_id"": ""01101458"", ""course_name"": ""Economics of Government Expenditure"", ""grade"": ""B+""}]",61219,3,78
BT_0001,Computer Engineering,Security Engineer (AppSec),3.22,"[{""name"": ""SIEM Tools"", ""level"": ""Advanced""}, {""name"": ""Analytical thinking"", ""level"": ""Intermediate""}, {""name"": ""Operating systems"", ""level"": ""Advanced""}, {""name"": ""PCI-DSS"", ""level"": ""Intermediate""}, {""name"": ""Compliance frameworks"", ""level"": ""Beginner""}, {""name"": ""Secure Code Review"", ""level"": ""Intermediate""}, {""name"": ""Problem-solving"", ""level"": ""Advanced""}, {""name"": ""Bash/Shell Scripting"", ""level"": ""Advanced""}, {""name"": ""Networking fundamentals"", ""level"": ""Intermediate""}, {""name"": ""CheckPoint"", ""level"": ""Advanced""}, {""name"": ""Application security"", ""level"": ""Advanced""}, {""name"": ""Docker"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}]",[AppSec Engineer Intern] at [Kasikorn Bank CyberSec 2022] | [Open-Source Contributor] at [GitHub Projects 2022] | [Data Engineer Intern] at [Agoda Data Platform 2022],"[{""course_id"": ""01204113"", ""course_name"": ""Computer and Programming for Computer Engineers"", ""grade"": ""C""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""A""}, {""course_id"": ""01204341"", ""course_name"": ""Software Engineering"", ""grade"": ""A""}, {""course_id"": ""01205211"", ""course_name"": ""Electric Circuit Analysis I"", ""grade"": ""B+""}, {""course_id"": ""01204421"", ""course_name"": ""Computer Networks"", ""grade"": ""A""}, {""course_id"": ""01204222"", ""course_name"": ""Digital Systems Design"", ""grade"": ""C+""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""A""}, {""course_id"": ""01204324"", ""course_name"": ""Computer System Laboratory"", ""grade"": ""A""}, {""course_id"": ""01204214"", ""course_name"": ""Problem Solving Laboratory"", ""grade"": ""B""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""B+""}, {""course_id"": ""01219367"", ""course_name"": ""Data Analytics"", ""grade"": ""B+""}, {""course_id"": ""01219482"", ""course_name"": ""Data Visualization"", ""grade"": ""B""}, {""course_id"": ""01204482"", ""course_name"": ""Computer-Human Interfaces"", ""grade"": ""C+""}, {""course_id"": ""01204458"", ""course_name"": ""Introduction to Computational Finance"", ""grade"": ""C""}]",78024,3,96
BT_0002,Computer Engineering,Security Engineer (AppSec),2.95,"[{""name"": ""Vulnerability Assessment"", ""level"": ""Intermediate""}, {""name"": ""Burp Suite"", ""level"": ""Intermediate""}, {""name"": ""Compliance frameworks"", ""level"": ""Intermediate""}, {""name"": ""Bash/Shell Scripting"", ""level"": ""Advanced""}, {""name"": ""Cryptography"", ""level"": ""Advanced""}, {""name"": ""Networking fundamentals"", ""level"": ""Beginner""}, {""name"": ""PCI-DSS"", ""level"": ""Advanced""}, {""name"": ""Analytical thinking"", ""level"": ""Advanced""}, {""name"": ""Penetration testing"", ""level"": ""Intermediate""}, {""name"": ""EC-Council certification"", ""level"": ""Advanced""}, {""name"": ""Network security"", ""level"": ""Advanced""}, {""name"": ""Incident Response"", ""level"": ""Advanced""}, {""name"": ""Application security"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[AppSec Engineer Intern] at [Kasikorn Bank CyberSec 2025] | [Data Engineer Intern] at [Agoda Data Platform 2025] | [Open-Source Contributor] at [GitHub Projects 2025] | [Software Intern] at [True Digital Group 2025],"[{""course_id"": ""01204421"", ""course_name"": ""Computer Networks"", ""grade"": ""A""}, {""course_id"": ""01204325"", ""course_name"": ""Data Communication and Computer Networks"", ""grade"": ""A""}, {""course_id"": ""01204222"", ""course_name"": ""Digital Systems Design"", ""grade"": ""C+""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""A""}, {""course_id"": ""01204211"", ""course_name"": ""Discrete Mathematics and Theory of Computation"", ""grade"": ""B""}, {""course_id"": ""01204391"", ""course_name"": ""Career and Social Skill Development Laboratory"", ""grade"": ""A""}, {""course_id"": ""01204314"", ""course_name"": ""Statistics for Computer Engineering Applications"", ""grade"": ""A""}, {""course_id"": ""01219325"", ""course_name"": ""Software Development Security"", ""grade"": ""B+""}, {""course_id"": ""01219364"", ""course_name"": ""Knowledge Discovery"", ""grade"": ""B""}, {""course_id"": ""01204472"", ""course_name"": ""Numerical Computation"", ""grade"": ""B+""}]",58823,2,82
BT_0003,Economics,Risk Manager,3.0,"[{""name"": ""Regression Analysis"", ""level"": ""Advanced""}, {""name"": ""Monte Carlo Simulation"", ""level"": ""Intermediate""}, {""name"": ""Derivatives Pricing (Black-Scholes)"", ""level"": ""Beginner""}, {""name"": ""Root cause analysis"", ""level"": ""Advanced""}, {""name"": ""Econometrics"", ""level"": ""Intermediate""}, {""name"": ""Credit limits"", ""level"": ""Advanced""}, {""name"": ""Analytical Thinking"", ""level"": ""Advanced""}, {""name"": ""Credit risk models"", ""level"": ""Advanced""}, {""name"": ""Margin loan policies"", ""level"": ""Advanced""}, {""name"": ""Python (Pandas, NumPy, Statsmodels)"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}, {""name"": ""Japanese"", ""level"": ""Beginner""}]",[Equity Analyst Intern] at [Bualuang Securities 2023] | [Policy Research Intern] at [NESDC Thailand 2023],"[{""course_id"": ""01101281"", ""course_name"": ""Microeconomics II"", ""grade"": ""A""}, {""course_id"": ""01101272"", ""course_name"": ""Economics Statistics I"", ""grade"": ""B""}, {""course_id"": ""01101284"", ""course_name"": ""Economics of Natural Resources and Public Policy"", ""grade"": ""C+""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""B""}, {""course_id"": ""01101385"", ""course_name"": ""Economic Development and International Trade"", ""grade"": ""C""}, {""course_id"": ""01101371"", ""course_name"": ""Economics Statistics II"", ""grade"": ""A""}, {""course_id"": ""01101381"", ""course_name"": ""History of Economic Thought"", ""grade"": ""B+""}, {""course_id"": ""01101273"", ""course_name"": ""Introduction to Computational Economics"", ""grade"": ""B""}, {""course_id"": ""01101444"", ""course_name"": ""Environmental Economics"", ""grade"": ""C+""}, {""course_id"": ""01101426"", ""course_name"": ""Real Estate Business Economics"", ""grade"": ""A""}, {""course_id"": ""01101422"", ""course_name"": ""Economics of Financial Risk Management"", ""grade"": ""B+""}]",66619,2,90
BT_0004,Economics,Financial Analyst,2.87,"[{""name"": ""Capital Budgeting"", ""level"": ""Intermediate""}, {""name"": ""Financial modeling"", ""level"": ""Intermediate""}, {""name"": ""Accounts Receivable (A/R)"", ""level"": ""Intermediate""}, {""name"": ""Economics of Money and Banking"", ""level"": ""Intermediate""}, {""name"": ""Accounts Payable (A/P)"", ""level"": ""Intermediate""}, {""name"": ""ERP systems (SAP, Oracle, NetSuite)"", ""level"": ""Advanced""}, {""name"": ""Power BI"", ""level"": ""Advanced""}, {""name"": ""CFA"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}, {""name"": ""Japanese"", ""level"": ""Beginner""}]",[Equity Analyst Intern] at [Bualuang Securities 2023] | [M&A Intern] at [Phatra Capital 2023],"[{""course_id"": ""01101284"", ""course_name"": ""Economics of Natural Resources and Public Policy"", ""grade"": ""B""}, {""course_id"": ""01101497"", ""course_name"": ""Seminar"", ""grade"": ""B""}, {""course_id"": ""01101491"", ""course_name"": ""Research Methods in Economics"", ""grade"": ""C""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101371"", ""course_name"": ""Economics Statistics II"", ""grade"": ""A""}, {""course_id"": ""01101372"", ""course_name"": ""Econometrics I"", ""grade"": ""B""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B""}, {""course_id"": ""01101283"", ""course_name"": ""Economic Thinking"", ""grade"": ""A""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""B+""}, {""course_id"": ""01101282"", ""course_name"": ""Macroeconomics II"", ""grade"": ""B+""}, {""course_id"": ""01101412"", ""course_name"": ""Project Preparation and Evaluation"", ""grade"": ""C+""}, {""course_id"": ""01101441"", ""course_name"": ""Public Economics"", ""grade"": ""B+""}, {""course_id"": ""01101456"", ""course_name"": ""Behavioral Finance"", ""grade"": ""A""}]",38544,5,78
BT_0005,Economics,Equity Research Analyst,3.29,"[{""name"": ""Excel (Advanced: Solver, VBA, Power Query)"", ""level"": ""Advanced""}, {""name"": ""Bloomberg Terminal"", ""level"": ""Intermediate""}, {""name"": ""Industry Analysis"", ""level"": ""Advanced""}, {""name"": ""Report Writing"", ""level"": ""Advanced""}, {""name"": ""Equity Research"", ""level"": ""Advanced""}, {""name"": ""Microsoft Word"", ""level"": ""Intermediate""}, {""name"": ""Valuation (DCF, Comps)"", ""level"": ""Intermediate""}, {""name"": ""Microsoft Excel"", ""level"": ""Advanced""}, {""name"": ""Presentation skills"", ""level"": ""Intermediate""}, {""name"": ""Communication"", ""level"": ""Advanced""}, {""name"": ""Reuters Eikon"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}, {""name"": ""Chinese"", ""level"": ""Beginner""}]",[Equity Analyst Intern] at [Bualuang Securities 2023] | [Policy Research Intern] at [NESDC Thailand 2023],"[{""course_id"": ""01101372"", ""course_name"": ""Econometrics I"", ""grade"": ""C+""}, {""course_id"": ""01101273"", ""course_name"": ""Introduction to Computational Economics"", ""grade"": ""B""}, {""course_id"": ""01101272"", ""course_name"": ""Economics Statistics I"", ""grade"": ""C+""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B""}, {""course_id"": ""01101381"", ""course_name"": ""History of Economic Thought"", ""grade"": ""B""}, {""course_id"": ""01101312"", ""course_name"": ""Thai Economy"", ""grade"": ""A""}, {""course_id"": ""01101426"", ""course_name"": ""Real Estate Business Economics"", ""grade"": ""B+""}, {""course_id"": ""01101437"", ""course_name"": ""International Trade Theory and Policy"", ""grade"": ""B+""}, {""course_id"": ""01101425"", ""course_name"": ""Business Economic Ethics"", ""grade"": ""B""}]",54416,3,79
BT_0006,Computer Engineering,Cybersecurity Engineer,3.64,"[{""name"": ""Ethical hacking"", ""level"": ""Advanced""}, {""name"": ""Exploit development"", ""level"": ""Intermediate""}, {""name"": ""Identity and access management"", ""level"": ""Intermediate""}, {""name"": ""Incident response"", ""level"": ""Intermediate""}, {""name"": ""Risk analysis"", ""level"": ""Intermediate""}, {""name"": ""TCP/IP Networking"", ""level"": ""Advanced""}, {""name"": ""OWASP Top 10"", ""level"": ""Intermediate""}, {""name"": ""Network security"", ""level"": ""Intermediate""}, {""name"": ""Security automation"", ""level"": ""Intermediate""}, {""name"": ""Docker"", ""level"": ""Advanced""}, {""name"": ""SOC"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[Data Engineer Intern] at [Agoda Data Platform 2024] | [Full-Stack Developer] at [Student Startup (YC-backed) 2024],"[{""course_id"": ""01205211"", ""course_name"": ""Electric Circuit Analysis I"", ""grade"": ""A""}, {""course_id"": ""01204114"", ""course_name"": ""Introduction to Computer Hardware Development"", ""grade"": ""B+""}, {""course_id"": ""01204391"", ""course_name"": ""Career and Social Skill Development Laboratory"", ""grade"": ""B+""}, {""course_id"": ""01204341"", ""course_name"": ""Software Engineering"", ""grade"": ""B""}, {""course_id"": ""01204371"", ""course_name"": ""Transform Techniques in Signal Processing"", ""grade"": ""B+""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""B""}, {""course_id"": ""01204214"", ""course_name"": ""Problem Solving Laboratory"", ""grade"": ""A""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""A""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""A""}, {""course_id"": ""01204464"", ""course_name"": ""Computer Vision"", ""grade"": ""A""}, {""course_id"": ""01204438"", ""course_name"": ""Enterprise Application Architecture"", ""grade"": ""A""}, {""course_id"": ""01204427"", ""course_name"": ""Computer System and Network Security"", ""grade"": ""B+""}, {""course_id"": ""01219349"", ""course_name"": ""Digital Game Production"", ""grade"": ""B+""}]",67883,3,86
BT_0007,Computer Engineering,Full-Stack Developer,3.16,"[{""name"": ""Python"", ""level"": ""Advanced""}, {""name"": ""Swagger"", ""level"": ""Intermediate""}, {""name"": ""Express.js"", ""level"": ""Intermediate""}, {""name"": ""REST API"", ""level"": ""Advanced""}, {""name"": ""Yarn"", ""level"": ""Intermediate""}, {""name"": ""NoSQL"", ""level"": ""Intermediate""}, {""name"": ""Debugging"", ""level"": ""Advanced""}, {""name"": ""Cloud-native applications"", ""level"": ""Advanced""}, {""name"": ""Microservices"", ""level"": ""Intermediate""}, {""name"": ""Security best practices"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}, {""name"": ""Japanese"", ""level"": ""Beginner""}]",[Team Lead] at [KU Hackathon 2023] | [Software Intern] at [True Digital Group 2023] | [Workshop Facilitator] at [KU Coding Club 2023],"[{""course_id"": ""01204323"", ""course_name"": ""Electronic Laboratory for Embedded Systems"", ""grade"": ""B+""}, {""course_id"": ""01204421"", ""course_name"": ""Computer Networks"", ""grade"": ""B""}, {""course_id"": ""01204214"", ""course_name"": ""Problem Solving Laboratory"", ""grade"": ""C""}, {""course_id"": ""01204341"", ""course_name"": ""Software Engineering"", ""grade"": ""B""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""B""}, {""course_id"": ""01204313"", ""course_name"": ""Algorithm Design and Analysis"", ""grade"": ""B+""}, {""course_id"": ""01204222"", ""course_name"": ""Digital Systems Design"", ""grade"": ""B""}, {""course_id"": ""01204426"", ""course_name"": ""Advanced Network and Network Configuration"", ""grade"": ""B+""}, {""course_id"": ""01219351"", ""course_name"": ""Web Application Development"", ""grade"": ""C+""}, {""course_id"": ""01204434"", ""course_name"": ""Parallel and Distributed Computing Systems"", ""grade"": ""C""}, {""course_id"": ""01204331"", ""course_name"": ""System Software Interface"", ""grade"": ""B""}]",49590,2,86
BT_0008,Computer Engineering,Game Developer,2.52,"[{""name"": ""Python"", ""level"": ""Intermediate""}, {""name"": ""Object-oriented programming"", ""level"": ""Advanced""}, {""name"": ""Git / Version Control"", ""level"": ""Intermediate""}, {""name"": ""HTML"", ""level"": ""Beginner""}, {""name"": ""MongoDB"", ""level"": ""Advanced""}, {""name"": ""API development"", ""level"": ""Intermediate""}, {""name"": ""TypeScript"", ""level"": ""Advanced""}, {""name"": ""CSS"", ""level"": ""Advanced""}, {""name"": ""Java"", ""level"": ""Advanced""}, {""name"": ""Unreal Engine"", ""level"": ""Advanced""}, {""name"": ""Problem Solving"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}]",[Game Developer Intern] at [Yggdrazil Group 2022] | [Open-Source Contributor] at [GitHub Projects 2022],"[{""course_id"": ""01204322"", ""course_name"": ""Embedded System"", ""grade"": ""A""}, {""course_id"": ""01204225"", ""course_name"": ""Computer Architecture and Organization"", ""grade"": ""B+""}, {""course_id"": ""01204323"", ""course_name"": ""Electronic Laboratory for Embedded Systems"", ""grade"": ""A""}, {""course_id"": ""01205211"", ""course_name"": ""Electric Circuit Analysis I"", ""grade"": ""B""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""B""}, {""course_id"": ""01204271"", ""course_name"": ""Introduction to Computer Engineering"", ""grade"": ""C+""}, {""course_id"": ""01204482"", ""course_name"": ""Computer-Human Interfaces"", ""grade"": ""A""}, {""course_id"": ""01204454"", ""course_name"": ""Management of Technology and Innovation"", ""grade"": ""A""}, {""course_id"": ""01219367"", ""course_name"": ""Data Analytics"", ""grade"": ""B+""}]",45488,4,79
BT_0009,Economics,Crypto / Digital Asset Analyst,3.01,"[{""name"": ""Python (Pandas, NumPy, Statsmodels)"", ""level"": ""Advanced""}, {""name"": ""DeFi Protocol Analysis"", ""level"": ""Advanced""}, {""name"": ""Financial modeling"", ""level"": ""Intermediate""}, {""name"": ""Behavioral Finance"", ""level"": ""Beginner""}, {""name"": ""Technical analysis"", ""level"": ""Beginner""}, {""name"": ""Derivatives Pricing (Black-Scholes)"", ""level"": ""Beginner""}, {""name"": ""DEX knowledge"", ""level"": ""Advanced""}, {""name"": ""Certified Bitcoin Professional"", ""level"": ""Advanced""}, {""name"": ""Stochastic Modeling"", ""level"": ""Advanced""}, {""name"": ""Adaptability"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}, {""name"": ""Chinese"", ""level"": ""Beginner""}]",[Crypto Analyst Intern] at [Bitkub Exchange 2023] | [Member] at [KU Investment Club 2023],"[{""course_id"": ""01101281"", ""course_name"": ""Microeconomics II"", ""grade"": ""C+""}, {""course_id"": ""01101312"", ""course_name"": ""Thai Economy"", ""grade"": ""A""}, {""course_id"": ""01101384"", ""course_name"": ""Economics of Money and Banking"", ""grade"": ""A""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B""}, {""course_id"": ""01101497"", ""course_name"": ""Seminar"", ""grade"": ""A""}, {""course_id"": ""01101282"", ""course_name"": ""Macroeconomics II"", ""grade"": ""B""}, {""course_id"": ""01101273"", ""course_name"": ""Introduction to Computational Economics"", ""grade"": ""B""}, {""course_id"": ""01101371"", ""course_name"": ""Economics Statistics II"", ""grade"": ""A""}, {""course_id"": ""01101385"", ""course_name"": ""Economic Development and International Trade"", ""grade"": ""A""}, {""course_id"": ""01101283"", ""course_name"": ""Economic Thinking"", ""grade"": ""A""}, {""course_id"": ""01101451"", ""course_name"": ""Economics of Industrial Organization"", ""grade"": ""B+""}, {""course_id"": ""01101456"", ""course_name"": ""Behavioral Finance"", ""grade"": ""A""}]",35000,5,61
