alumni_id,faculty,first_job_title,gpa_at_graduation,skills_at_graduation,activities_in_college,key_course_grades,salary_start,years_to_promotion,success_score
ALUM_0000,Computer Engineering,Backend Engineer,3.36,"[{""name"": ""C#"", ""level"": ""Advanced""}, {""name"": ""Redis"", ""level"": ""Advanced""}, {""name"": ""Spring Boot"", ""level"": ""Intermediate""}, {""name"": ""MongoDB"", ""level"": ""Advanced""}, {""name"": ""Git"", ""level"": ""Beginner""}, {""name"": ""Microservices"", ""level"": ""Beginner""}, {""name"": ""Docker"", ""level"": ""Intermediate""}, {""name"": ""SQL"", ""level"": ""Intermediate""}, {""name"": ""Technical Writing"", ""level"": ""Intermediate""}, {""name"": ""Kubernetes"", ""level"": ""Advanced""}, {""name"": ""Apache Kafka"", ""level"": ""Advanced""}, {""name"": ""Figma"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}, {""name"": ""Chinese"", ""level"": ""Beginner""}]",[Backend Developer] at [Senior Capstone Project 2022] | [ML Engineer Intern] at [Grab Thailand 2022],"[{""course_id"": ""01204214"", ""course_name"": ""Problem Solving Laboratory"", ""grade"": ""B+""}, {""course_id"": ""01204322"", ""course_name"": ""Embedded System"", ""grade"": ""B+""}, {""course_id"": ""01205242"", ""course_name"": ""Electronic Circuits and Systems I"", ""grade"": ""C+""}, {""course_id"": ""01208111"", ""course_name"": ""Engineering Drawing"", ""grade"": ""A""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""B""}, {""course_id"": ""01204324"", ""course_name"": ""Computer System Laboratory"", ""grade"": ""B""}, {""course_id"": ""01417167"", ""course_name"": ""Engineering Mathematics I"", ""grade"": ""B""}, {""course_id"": ""01204371"", ""course_name"": ""Transform Techniques in Signal Processing"", ""grade"": ""C+""}, {""course_id"": ""01204436"", ""course_name"": ""Real-time System Engineering"", ""grade"": ""B""}, {""course_id"": ""01204429"", ""course_name"": ""Wireless Networks and Simulation"", ""grade"": ""C+""}, {""course_id"": ""01204432"", ""course_name"": ""Object-Oriented Design"", ""grade"": ""A""}]",47613,2,83
ALUM_0001,Economics,Portfolio Manager,3.81,"[{""name"": ""Risk Management (VaR, CVaR)"", ""level"": ""Advanced""}, {""name"": ""Factor Investing"", ""level"": ""Intermediate""}, {""name"": ""Equity Research"", ""level"": ""Advanced""}, {""name"": ""Investment Analysis"", ""level"": ""Intermediate""}, {""name"": ""Investment Consultant (IC) License"", ""level"": ""Intermediate""}, {""name"": ""Valuation (DCF, Comps)"", ""level"": ""Beginner""}, {""name"": ""Portfolio rebalancing"", ""level"": ""Advanced""}, {""name"": ""Wealth management"", ""level"": ""Advanced""}, {""name"": ""CFA"", ""level"": ""Advanced""}, {""name"": ""Investment Planner (IP) License"", ""level"": ""Intermediate""}, {""name"": ""Behavioral Finance"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}]",[Economic Analyst] at [TDRI Policy Research 2025] | [M&A Intern] at [Phatra Capital 2025],"[{""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""B+""}, {""course_id"": ""01101312"", ""course_name"": ""Thai Economy"", ""grade"": ""C+""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""B""}, {""course_id"": ""01101272"", ""course_name"": ""Economics Statistics I"", ""grade"": ""B+""}, {""course_id"": ""01101284"", ""course_name"": ""Economics of Natural Resources and Public Policy"", ""grade"": ""C""}, {""course_id"": ""01101281"", ""course_name"": ""Microeconomics II"", ""grade"": ""B""}, {""course_id"": ""01101491"", ""course_name"": ""Research Methods in Economics"", ""grade"": ""B""}, {""course_id"": ""01101282"", ""course_name"": ""Macroeconomics II"", ""grade"": ""B+""}, {""course_id"": ""01101459"", ""course_name"": ""Economics of Government Revenue"", ""grade"": ""C""}, {""course_id"": ""01101438"", ""course_name"": ""International Finance and Exchange Rate"", ""grade"": ""B""}, {""course_id"": ""01101414"", ""course_name"": ""Economic Development of ASEAN Countries"", ""grade"": ""A""}, {""course_id"": ""01101475"", ""course_name"": ""Mathematical Economics IV"", ""grade"": ""B+""}]",56743,3,78
ALUM_0002,Computer Engineering,DevOps / SRE Engineer,2.3,"[{""name"": ""GitHub Actions"", ""level"": ""Intermediate""}, {""name"": ""Kubernetes"", ""level"": ""Intermediate""}, {""name"": ""Git"", ""level"": ""Intermediate""}, {""name"": ""Bash"", ""level"": ""Intermediate""}, {""name"": ""Azure (AKS, Functions)"", ""level"": ""Beginner""}, {""name"": ""Bash/Shell Scripting"", ""level"": ""Beginner""}, {""name"": ""EKS"", ""level"": ""Advanced""}, {""name"": ""Problem Solving"", ""level"": ""Advanced""}, {""name"": ""Sonar"", ""level"": ""Advanced""}, {""name"": ""Maven"", ""level"": ""Advanced""}, {""name"": ""VMware"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}, {""name"": ""Korean"", ""level"": ""Beginner""}]",[ML Engineer Intern] at [Grab Thailand 2023] | [Frontend Developer] at [KBTG Digital Banking 2023],"[{""course_id"": ""01204224"", ""course_name"": ""Logic Circuit Laboratory"", ""grade"": ""A""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""A""}, {""course_id"": ""01204223"", ""course_name"": ""Practicum in Computer Engineering"", ""grade"": ""B+""}, {""course_id"": ""01204323"", ""course_name"": ""Electronic Laboratory for Embedded Systems"", ""grade"": ""B+""}, {""course_id"": ""01205211"", ""course_name"": ""Electric Circuit Analysis I"", ""grade"": ""A""}, {""course_id"": ""01204214"", ""course_name"": ""Problem Solving Laboratory"", ""grade"": ""B+""}, {""course_id"": ""01204271"", ""course_name"": ""Introduction to Computer Engineering"", ""grade"": ""C+""}, {""course_id"": ""01204437"", ""course_name"": ""Computer System Security"", ""grade"": ""C+""}, {""course_id"": ""01204457"", ""course_name"": ""Semantic Web Technology"", ""grade"": ""A""}, {""course_id"": ""01204467"", ""course_name"": ""Introduction to Robotics"", ""grade"": ""C+""}, {""course_id"": ""01204456"", ""course_name"": ""Social Networks Data Mining"", ""grade"": ""A""}, {""course_id"": ""01204314"", ""course_name"": ""Statistics for Computer Engineering Applications"", ""grade"": ""A""}, {""course_id"": ""01204428"", ""course_name"": ""Wireless Embedded Systems"", ""grade"": ""C+""}]",59700,3,85
ALUM_0003,Economics,Economist,2.5,"[{""name"": ""Economic Forecasting"", ""level"": ""Advanced""}, {""name"": ""Microeconomic theory"", ""level"": ""Intermediate""}, {""name"": ""Economic research"", ""level"": ""Intermediate""}, {""name"": ""Econometrics"", ""level"": ""Intermediate""}, {""name"": ""National Accounts Analysis"", ""level"": ""Advanced""}, {""name"": ""Pricing strategy"", ""level"": ""Beginner""}, {""name"": ""Statistical reasoning"", ""level"": ""Intermediate""}, {""name"": ""Regression Analysis"", ""level"": ""Advanced""}, {""name"": ""Python (Pandas, NumPy, Statsmodels)"", ""level"": ""Intermediate""}, {""name"": ""Difference-in-differences"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[Research Assistant] at [Bank of Thailand (BOT) 2023] | [Behavioral Research RA] at [KU Experimental Economics Lab 2023],"[{""course_id"": ""01101273"", ""course_name"": ""Introduction to Computational Economics"", ""grade"": ""B+""}, {""course_id"": ""01101385"", ""course_name"": ""Economic Development and International Trade"", ""grade"": ""B""}, {""course_id"": ""01101272"", ""course_name"": ""Economics Statistics I"", ""grade"": ""A""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""C""}, {""course_id"": ""01101491"", ""course_name"": ""Research Methods in Economics"", ""grade"": ""A""}, {""course_id"": ""01101384"", ""course_name"": ""Economics of Money and Banking"", ""grade"": ""B""}, {""course_id"": ""01101372"", ""course_name"": ""Econometrics I"", ""grade"": ""A""}, {""course_id"": ""01101281"", ""course_name"": ""Microeconomics II"", ""grade"": ""B""}, {""course_id"": ""01101417"", ""course_name"": ""Comparative Economic Development"", ""grade"": ""A""}, {""course_id"": ""01101482"", ""course_name"": ""Economic Growth and Stability"", ""grade"": ""B""}]",62318,1,92
ALUM_0004,Economics,Quantitative Researcher,3.41,"[{""name"": ""Python (Pandas, NumPy, Statsmodels)"", ""level"": ""Advanced""}, {""name"": ""Time series analysis"", ""level"": ""Intermediate""}, {""name"": ""Python"", ""level"": ""Intermediate""}, {""name"": ""Stochastic Modeling"", ""level"": ""Intermediate""}, {""name"": ""R"", ""level"": ""Advanced""}, {""name"": ""Technical indicators (MA/EMA, RSI, MACD, ATR)"", ""level"": ""Intermediate""}, {""name"": ""R (ggplot2, dplyr, tidyr)"", ""level"": ""Intermediate""}, {""name"": ""numpy"", ""level"": ""Advanced""}, {""name"": ""Research Skills"", ""level"": ""Intermediate""}, {""name"": ""Factor Investing"", ""level"": ""Intermediate""}, {""name"": ""Causal inference"", ""level"": ""Advanced""}, {""name"": ""pandas"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}]",[Member] at [KU Investment Club 2023] | [Teaching Assistant] at [ECON Department - Econometrics 2023],"[{""course_id"": ""01101372"", ""course_name"": ""Econometrics I"", ""grade"": ""B+""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""B+""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""B+""}, {""course_id"": ""01101282"", ""course_name"": ""Macroeconomics II"", ""grade"": ""A""}, {""course_id"": ""01101283"", ""course_name"": ""Economic Thinking"", ""grade"": ""C""}, {""course_id"": ""01101312"", ""course_name"": ""Thai Economy"", ""grade"": ""B+""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""B""}, {""course_id"": ""01101444"", ""course_name"": ""Environmental Economics"", ""grade"": ""A""}, {""course_id"": ""01101423"", ""course_name"": ""Marketing Business Economics"", ""grade"": ""B""}, {""course_id"": ""01101431"", ""course_name"": ""Economics of Industrialization"", ""grade"": ""B""}, {""course_id"": ""01101421"", ""course_name"": ""Business Economic Forecasting"", ""grade"": ""C+""}, {""course_id"": ""01101455"", ""course_name"": ""Investment Analysis"", ""grade"": ""B""}]",70344,4,78
ALUM_0005,Computer Engineering,Security Engineer (AppSec),3.04,"[{""name"": ""Teamwork"", ""level"": ""Beginner""}, {""name"": ""Secure Code Review"", ""level"": ""Intermediate""}, {""name"": ""Burp Suite"", ""level"": ""Advanced""}, {""name"": ""Operating systems"", ""level"": ""Intermediate""}, {""name"": ""SIEM Tools"", ""level"": ""Beginner""}, {""name"": ""Application security"", ""level"": ""Advanced""}, {""name"": ""F5 Networks"", ""level"": ""Intermediate""}, {""name"": ""Docker"", ""level"": ""Advanced""}, {""name"": ""Problem Solving"", ""level"": ""Advanced""}, {""name"": ""CheckPoint"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[AppSec Engineer Intern] at [Kasikorn Bank CyberSec 2023] | [Software Intern] at [True Digital Group 2023] | [Data Engineer Intern] at [Agoda Data Platform 2023] | [Open-Source Contributor] at [GitHub Projects 2023],"[{""course_id"": ""01205242"", ""course_name"": ""Electronic Circuits and Systems I"", ""grade"": ""B+""}, {""course_id"": ""01205211"", ""course_name"": ""Electric Circuit Analysis I"", ""grade"": ""B+""}, {""course_id"": ""01204437"", ""course_name"": ""Computer System Security"", ""grade"": ""B+""}, {""course_id"": ""01204216"", ""course_name"": ""Probability and Statistics for Computer Engineers"", ""grade"": ""B""}, {""course_id"": ""01204214"", ""course_name"": ""Problem Solving Laboratory"", ""grade"": ""B+""}, {""course_id"": ""01204271"", ""course_name"": ""Introduction to Computer Engineering"", ""grade"": ""B+""}, {""course_id"": ""01204473"", ""course_name"": ""Mechatronic System and Control"", ""grade"": ""B""}, {""course_id"": ""01204426"", ""course_name"": ""Advanced Network and Network Configuration"", ""grade"": ""B""}, {""course_id"": ""01205338"", ""course_name"": ""VLSI Systems"", ""grade"": ""C+""}, {""course_id"": ""01204453"", ""course_name"": ""Web Information Retrieval and Mining"", ""grade"": ""B+""}]",51738,4,78
ALUM_0006,Economics,Portfolio Manager,3.56,"[{""name"": ""Reuters Eikon"", ""level"": ""Intermediate""}, {""name"": ""Investment Consultant (IC) License"", ""level"": ""Advanced""}, {""name"": ""Investment Analysis"", ""level"": ""Advanced""}, {""name"": ""Bloomberg Terminal"", ""level"": ""Intermediate""}, {""name"": ""Financial acumen"", ""level"": ""Intermediate""}, {""name"": ""Valuation (DCF, Comps)"", ""level"": ""Advanced""}, {""name"": ""CFP"", ""level"": ""Advanced""}, {""name"": ""Leadership"", ""level"": ""Advanced""}, {""name"": ""Wealth management"", ""level"": ""Advanced""}, {""name"": ""Derivatives Pricing (Black-Scholes)"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}]",[Economic Analyst] at [TDRI Policy Research 2024] | [Member] at [KU Investment Club 2024],"[{""course_id"": ""01101282"", ""course_name"": ""Macroeconomics II"", ""grade"": ""B+""}, {""course_id"": ""01101272"", ""course_name"": ""Economics Statistics I"", ""grade"": ""B""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B""}, {""course_id"": ""01101371"", ""course_name"": ""Economics Statistics II"", ""grade"": ""A""}, {""course_id"": ""01101497"", ""course_name"": ""Seminar"", ""grade"": ""B+""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""C+""}, {""course_id"": ""01101491"", ""course_name"": ""Research Methods in Economics"", ""grade"": ""B""}, {""course_id"": ""01101384"", ""course_name"": ""Economics of Money and Banking"", ""grade"": ""A""}, {""course_id"": ""01101283"", ""course_name"": ""Economic Thinking"", ""grade"": ""B+""}, {""course_id"": ""01101413"", ""course_name"": ""Economic Administration"", ""grade"": ""B""}, {""course_id"": ""01101482"", ""course_name"": ""Economic Growth and Stability"", ""grade"": ""C+""}]",71288,1,92
ALUM_0007,Computer Engineering,AI Engineer,2.67,"[{""name"": ""PyTorch"", ""level"": ""Beginner""}, {""name"": ""RESTful API design"", ""level"": ""Advanced""}, {""name"": ""Bash scripting"", ""level"": ""Beginner""}, {""name"": ""CI/CD workflows"", ""level"": ""Advanced""}, {""name"": ""Azure"", ""level"": ""Beginner""}, {""name"": ""Azure AI Foundry"", ""level"": ""Intermediate""}, {""name"": ""Node.js"", ""level"": ""Advanced""}, {""name"": ""Google Cloud"", ""level"": ""Advanced""}, {""name"": ""Tableau"", ""level"": ""Advanced""}, {""name"": ""Redis"", ""level"": ""Advanced""}, {""name"": ""Apache Spark"", ""level"": ""Intermediate""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}]",[LLM App Developer] at [AI Builders Thailand 2024] | [Open-Source Contributor] at [GitHub Projects 2024],"[{""course_id"": ""01204222"", ""course_name"": ""Digital Systems Design"", ""grade"": ""B""}, {""course_id"": ""01204225"", ""course_name"": ""Computer Architecture and Organization"", ""grade"": ""B""}, {""course_id"": ""01204341"", ""course_name"": ""Software Engineering"", ""grade"": ""C""}, {""course_id"": ""01204391"", ""course_name"": ""Career and Social Skill Development Laboratory"", ""grade"": ""A""}, {""course_id"": ""01204313"", ""course_name"": ""Algorithm Design and Analysis"", ""grade"": ""C+""}, {""course_id"": ""01204211"", ""course_name"": ""Discrete Mathematics and Theory of Computation"", ""grade"": ""A""}, {""course_id"": ""01204423"", ""course_name"": ""Network Kernel Architectures and Implementation"", ""grade"": ""A""}, {""course_id"": ""01204451"", ""course_name"": ""Database System Design"", ""grade"": ""B""}]",74217,3,86
ALUM_0008,Economics,Crypto / Digital Asset Analyst,3.19,"[{""name"": ""On-Chain Data Analysis (Dune Analytics, Glassnode)"", ""level"": ""Advanced""}, {""name"": ""Behavioral Finance"", ""level"": ""Advanced""}, {""name"": ""Python (Pandas, NumPy, Statsmodels)"", ""level"": ""Advanced""}, {""name"": ""Risk Management (VaR, CVaR)"", ""level"": ""Intermediate""}, {""name"": ""Bloomberg Terminal"", ""level"": ""Intermediate""}, {""name"": ""Fundamental analysis"", ""level"": ""Intermediate""}, {""name"": ""Tokenomics analysis"", ""level"": ""Advanced""}, {""name"": ""On-chain data analysis"", ""level"": ""Advanced""}, {""name"": ""Blockchain technology"", ""level"": ""Advanced""}, {""name"": ""Research Skills"", ""level"": ""Advanced""}, {""name"": ""Nansen"", ""level"": ""Advanced""}, {""name"": ""Web3 ecosystem"", ""level"": ""Intermediate""}, {""name"": ""DEX knowledge"", ""level"": ""Intermediate""}, {""name"": ""Adaptability"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}, {""name"": ""Chinese"", ""level"": ""Beginner""}]",[Crypto Analyst Intern] at [Bitkub Exchange 2024] | [Equity Analyst Intern] at [Bualuang Securities 2024] | [Bond Trader Intern] at [Finansa Capital 2024],"[{""course_id"": ""01101497"", ""course_name"": ""Seminar"", ""grade"": ""A""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""B""}, {""course_id"": ""01101384"", ""course_name"": ""Economics of Money and Banking"", ""grade"": ""B""}, {""course_id"": ""01101375"", ""course_name"": ""Operations Research for Economic Applications"", ""grade"": ""B+""}, {""course_id"": ""01101372"", ""course_name"": ""Econometrics I"", ""grade"": ""C+""}, {""course_id"": ""01101272"", ""course_name"": ""Economics Statistics I"", ""grade"": ""B""}, {""course_id"": ""01101474"", ""course_name"": ""Econometrics II"", ""grade"": ""B+""}, {""course_id"": ""01101451"", ""course_name"": ""Economics of Industrial Organization"", ""grade"": ""B+""}, {""course_id"": ""01101483"", ""course_name"": ""Political Economics"", ""grade"": ""C+""}]",51709,4,76
ALUM_0009,Economics,Wealth Manager,2.6,"[{""name"": ""Business development"", ""level"": ""Advanced""}, {""name"": ""Portfolio Management"", ""level"": ""Intermediate""}, {""name"": ""Investment Analysis"", ""level"": ""Intermediate""}, {""name"": ""Portfolio rebalancing"", ""level"": ""Advanced""}, {""name"": ""Relationship management"", ""level"": ""Beginner""}, {""name"": ""Financial planning"", ""level"": ""Advanced""}, {""name"": ""Portfolio construction"", ""level"": ""Advanced""}, {""name"": ""Investment Consultant (IC) License"", ""level"": ""Beginner""}, {""name"": ""Excel (Advanced: Solver, VBA, Power Query)"", ""level"": ""Advanced""}, {""name"": ""Private wealth experience"", ""level"": ""Intermediate""}, {""name"": ""Negotiation"", ""level"": ""Advanced""}, {""name"": ""Tax planning"", ""level"": ""Advanced""}, {""name"": ""Reuters Eikon"", ""level"": ""Advanced""}, {""name"": ""CFA"", ""level"": ""Advanced""}, {""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}, {""name"": ""Chinese"", ""level"": ""Intermediate""}]",[Wealth Mgmt Intern] at [SCB Julius Baer 2025] | [Economic Analyst] at [TDRI Policy Research 2025],"[{""course_id"": ""01101491"", ""course_name"": ""Research Methods in Economics"", ""grade"": ""A""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""B""}, {""course_id"": ""01101381"", ""course_name"": ""History of Economic Thought"", ""grade"": ""A""}, {""course_id"": ""01101273"", ""course_name"": ""Introduction to Computational Economics"", ""grade"": ""B""}, {""course_id"": ""01101272"", ""course_name"": ""Economics Statistics I"", ""grade"": ""A""}, {""course_id"": ""01101371"", ""course_name"": ""Economics Statistics II"", ""grade"": ""B""}, {""course_id"": ""01101372"", ""course_name"": ""Econometrics I"", ""grade"": ""C""}, {""course_id"": ""01101481"", ""course_name"": ""Welfare Economics"", ""grade"": ""B+""}, {""course_id"": ""01101476"", ""course_name"": ""Microeconometrics"", ""grade"": ""B+""}]",68329,4,84
